0,1,2,3,4
F41,B,5.0,1419.0,US-10161708-B1
F41,B,5.0,1419.0,US-10161719-B2
F41,B,5.0,1419.0,US-10359252-B2
F41,B,5.0,1419.0,US-11293717-B2
F41,B,5.0,1419.0,US-11415392-B2
F41,B,5.0,1419.0,US-20180087874-A1
F41,B,5.0,1419.0,US-20180066919-A1
F41,B,5.0,1419.0,US-20170211913-A1
F41,B,5.0,1419.0,US-4011853-A
F41,B,5.0,1419.0,US-4563821-A
F41,B,5.0,1419.0,US-5056498-A
F41,B,5.0,1419.0,US-4934332-A
F41,B,5.0,1419.0,US-7810481-B2
F41,B,5.0,1419.0,US-6058921-A
F41,B,5.0,1419.0,US-5996569-A
F41,B,5.0,1419.0,US-5715805-A
F41,B,5.0,1419.0,US-5669146-A
F41,B,5.0,1419.0,US-5542186-A
F41,B,5.0,1419.0,US-5325598-A
F41,B,5.0,1419.0,US-5322049-A
F41,B,5.0,1419.0,US-5080084-A
F41,B,5.0,1419.0,US-7543389-B2
F41,B,5.0,1419.0,US-7040027-B1
F41,B,5.0,1419.0,US-20070050998-A1
F41,B,5.0,1419.0,US-20070119060-A1
F41,B,5.0,1419.0,US-20110265778-A1
F41,B,5.0,1419.0,US-20220049922-A1
F41,B,5.0,1419.0,US-20230017511-A1
F41,B,5.0,1419.0,US-3703770-A
F41,B,5.0,1419.0,US-3859733-A
F41,B,5.0,1419.0,US-3886924-A
F41,B,5.0,1419.0,US-4833786-A
F41,B,5.0,1419.0,US-4895129-A
F41,B,5.0,1419.0,US-8281777-B2
F41,B,5.0,1419.0,US-9212866-B1
F41,B,5.0,1419.0,US-9714813-B1
