0,1,2,3,4
F41,J,7.0,6.0,US-10295315-B2
F41,J,7.0,6.0,US-10458759-B2
F41,J,7.0,6.0,US-1061577-A
F41,J,7.0,6.0,US-10731954-B2
F41,J,7.0,6.0,US-20150233685-A1
F41,J,7.0,6.0,US-20180283830-A1
F41,J,7.0,6.0,US-20170146324-A1
F41,J,7.0,6.0,US-20160061570-A1
F41,J,7.0,6.0,US-4119317-A
F41,J,7.0,6.0,US-4501427-A
F41,J,7.0,6.0,US-4288080-A
F41,J,7.0,6.0,US-4934937-A
F41,J,7.0,6.0,US-4911453-A
F41,J,7.0,6.0,US-7735832-B2
F41,J,7.0,6.0,US-7694973-B1
F41,J,7.0,6.0,US-7611147-B2
F41,J,7.0,6.0,US-5934678-A
F41,J,7.0,6.0,US-5865439-A
F41,J,7.0,6.0,US-5603505-A
F41,J,7.0,6.0,US-5317956-A
F41,J,7.0,6.0,US-5219173-A
F41,J,7.0,6.0,US-5213336-A
F41,J,7.0,6.0,US-20140062023-A1
F41,J,7.0,6.0,US-2284510-A
F41,J,7.0,6.0,US-2307147-A
F41,J,7.0,6.0,US-3737166-A
F41,J,7.0,6.0,US-3761088-A
F41,J,7.0,6.0,US-3914879-A
F41,J,7.0,6.0,US-8047546-B1
F41,J,7.0,6.0,US-9157706-B2
F41,J,7.0,6.0,US-9448044-B1
F41,J,7.0,6.0,US-9541356-B2
