0,1,2,3,4
F41,F,5.0,0.0,US-10029791-B2
F41,F,5.0,0.0,US-10518883-B2
F41,F,5.0,0.0,US-10640213-B2
F41,F,5.0,0.0,US-20190233108-A1
F41,F,5.0,0.0,US-20180330631-A1
F41,F,5.0,0.0,US-20180319498-A1
F41,F,5.0,0.0,US-20180281952-A1
F41,F,5.0,0.0,US-20170121020-A1
F41,F,5.0,0.0,US-4171664-A
F41,F,5.0,0.0,US-4164887-A
F41,F,5.0,0.0,US-4474101-A
F41,F,5.0,0.0,US-5160800-A
F41,F,5.0,0.0,US-7338015-B1
F41,F,5.0,0.0,US-6539833-B1
F41,F,5.0,0.0,US-6347567-B1
F41,F,5.0,0.0,US-20080099622-A1
F41,F,5.0,0.0,US-20090223403-A1
F41,F,5.0,0.0,US-20100301159-A1
F41,F,5.0,0.0,US-20140202322-A1
F41,F,5.0,0.0,US-20140216236-A1
F41,F,5.0,0.0,US-20210239441-A1
F41,F,5.0,0.0,US-20210276713-A1
F41,F,5.0,0.0,US-20220267003-A1
F41,F,5.0,0.0,US-20220333897-A1
F41,F,5.0,0.0,US-20230003490-A1
F41,F,5.0,0.0,US-3218929-A
F41,F,5.0,0.0,US-3240200-A
F41,F,5.0,0.0,US-3628416-A
F41,F,5.0,0.0,US-3732777-A
F41,F,5.0,0.0,US-3752082-A
F41,F,5.0,0.0,US-3877343-A
F41,F,5.0,0.0,US-7845263-B1
F41,F,5.0,0.0,US-7861972-B1
F41,F,5.0,0.0,US-8418965-B2
F41,F,5.0,0.0,US-8516938-B2
F41,F,5.0,0.0,US-8584568-B1
F41,F,5.0,0.0,US-8814097-B2
F41,F,5.0,0.0,US-8833225-B2
