0,1,2,3,4
F41,H,5.0,223.0,US-11454476-B2
F41,H,5.0,223.0,US-20160195368-A1
F41,H,5.0,223.0,US-4159669-A
F41,H,5.0,223.0,US-4004494-A
F41,H,5.0,223.0,US-4678224-A
F41,H,5.0,223.0,US-4587880-A
F41,H,5.0,223.0,US-4574525-A
F41,H,5.0,223.0,US-4424736-A
F41,H,5.0,223.0,US-5408783-A
F41,H,5.0,223.0,US-5220127-A
F41,H,5.0,223.0,US-5105718-A
F41,H,5.0,223.0,US-5105714-A
F41,H,5.0,223.0,US-6843589-B1
F41,H,5.0,223.0,US-20060021543-A1
F41,H,5.0,223.0,US-20140260940-A1
F41,H,5.0,223.0,US-2329420-A
F41,H,5.0,223.0,US-2395456-A
F41,H,5.0,223.0,US-3103035-A
F41,H,5.0,223.0,US-3214156-A
F41,H,5.0,223.0,US-3724323-A
F41,H,5.0,223.0,US-8459170-B2
F41,H,5.0,223.0,US-9316466-B2
F41,H,5.0,223.0,US-9766046-B2
